Date,AQI
01-01-2016,101
02-01-2016,92
03-01-2016,108
04-01-2016,109
05-01-2016,114
06-01-2016,121
07-01-2016,116
08-01-2016,117
09-01-2016,143
10-01-2016,168
11-01-2016,122
12-01-2016,122
13-01-2016,146
14-01-2016,152
15-01-2016,119
16-01-2016,130
17-01-2016,253
18-01-2016,219
19-01-2016,146
20-01-2016,170
21-01-2016,117
22-01-2016,113
23-01-2016,146
24-01-2016,102
25-01-2016,98
26-01-2016,104
27-01-2016,91
28-01-2016,118
29-01-2016,175
30-01-2016,149
31-01-2016,183
01-02-2016,184
02-02-2016,156
03-02-2016,153
04-02-2016,141
05-02-2016,139
06-02-2016,154
07-02-2016,199
08-02-2016,182
09-02-2016,175
10-02-2016,191
11-02-2016,203
12-02-2016,154
13-02-2016,160
14-02-2016,136
15-02-2016,107
16-02-2016,88
17-02-2016,105
18-02-2016,111
19-02-2016,117
20-02-2016,113
21-02-2016,115
22-02-2016,145
23-02-2016,177
24-02-2016,198
25-02-2016,165
26-02-2016,124
27-02-2016,88
28-02-2016,88
29-02-2016,105
01-03-2016,118
02-03-2016,132
03-03-2016,121
04-03-2016,136
05-03-2016,153
06-03-2016,135
07-03-2016,111
08-03-2016,135
09-03-2016,123
10-03-2016,146
11-03-2016,155
12-03-2016,144
13-03-2016,149
14-03-2016,158
15-03-2016,175
16-03-2016,139
17-03-2016,145
18-03-2016,151
19-03-2016,158
20-03-2016,253
21-03-2016,264
22-03-2016,155
23-03-2016,137
24-03-2016,119
25-03-2016,137
26-03-2016,149
27-03-2016,156
28-03-2016,123
29-03-2016,118
30-03-2016,107
31-03-2016,111
01-04-2016,106
02-04-2016,112
03-04-2016,110
04-04-2016,114
05-04-2016,118
06-04-2016,154
07-04-2016,179
08-04-2016,102
09-04-2016,170
10-04-2016,112
11-04-2016,138
12-04-2016,121
13-04-2016,118
14-04-2016,171
15-04-2016,156
16-04-2016,140
17-04-2016,114
18-04-2016,138
19-04-2016,137
20-04-2016,134
21-04-2016,119
22-04-2016,98
23-04-2016,107
24-04-2016,150
25-04-2016,94
26-04-2016,85
27-04-2016,115
28-04-2016,74
29-04-2016,88
